Match Title,Match ID,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard Link
Bengal Vs Saurashtra Final,1333330,Bengal,Saurashtra,Saurashtra,9 wickets,Eden Gardens,"Feb 16-19, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bengal-vs-saurashtra-final-1333330/full-scorecard
Karnataka Vs Saurashtra 2Nd Semi Final,1333329,Karnataka,Saurashtra,Saurashtra,4 wickets,Bengaluru,"Feb 8-12, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/karnataka-vs-saurashtra-2nd-semi-final-1333329/full-scorecard
Madhya Pradesh Vs Bengal 1St Semi Final,1333328,M. Pradesh,Bengal,Bengal,306 runs,Indore,"Feb 8-12, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/madhya-pradesh-vs-bengal-1st-semi-final-1333328/full-scorecard
Karnataka Vs Uttarakhand 2Nd Quarter Final,1333325,Karnataka,Uttarakhand,Karnataka,inns & 281 runs,Bengaluru,"Jan 31-Feb 3, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/karnataka-vs-uttarakhand-2nd-quarter-final-1333325/full-scorecard
Madhya Pradesh Vs Andhra 4Th Quarter Final,1333327,M. Pradesh,Andhra,M. Pradesh,5 wickets,Indore,"Jan 31-Feb 3, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/madhya-pradesh-vs-andhra-4th-quarter-final-1333327/full-scorecard
Saurashtra Vs Punjab 3Rd Quarter Final,1333326,Saurashtra,Punjab,Saurashtra,71 runs,Rajkot,"Jan 31-Feb 4, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/saurashtra-vs-punjab-3rd-quarter-final-1333326/full-scorecard
Bengal Vs Jharkhand 1St Quarter Final,1333324,Bengal,Jharkhand,Bengal,9 wickets,Eden Gardens,"Jan 31-Feb 3, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bengal-vs-jharkhand-1st-quarter-final-1333324/full-scorecard
Bihar Vs Manipur Plate Group Final,1333323,Bihar,Manipur,Bihar,220 runs,Patna,"Jan 25-29, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bihar-vs-manipur-plate-group-final-1333323/full-scorecard
Andhra Vs Assam Elite Group B,1333311,Andhra,Assam,Andhra,inns & 95 runs,Vizianagaram,"Jan 24-26, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/andhra-vs-assam-elite-group-b-1333311/full-scorecard
Baroda Vs Nagaland Elite Group A,1333309,Baroda,Nagaland,Baroda,inns & 343 runs,Vadodara,"Jan 24-26, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/baroda-vs-nagaland-elite-group-a-1333309/full-scorecard
Chandigarh Vs Jammu Kashmir Elite Group D,1333320,Chandigarh,J + K,drawn,-,Chandigarh,"Jan 24-27, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/chandigarh-vs-jammu-kashmir-elite-group-d-1333320/full-scorecard
Chhattisgarh Vs Goa Elite Group C,1333315,Chhattisgarh,Goa,Chhattisgarh,8 wickets,Raipur,"Jan 24-27, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/chhattisgarh-vs-goa-elite-group-c-1333315/full-scorecard
Gujarat Vs Railways Elite Group D,1333322,Gujarat,Railways,Railways,inns & 56 runs,Ahmedabad,"Jan 24-26, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/gujarat-vs-railways-elite-group-d-1333322/full-scorecard
Haryana Vs Uttarakhand Elite Group A,1333307,Haryana,Uttarakhand,drawn,-,Rohtak,"Jan 24-27, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/haryana-vs-uttarakhand-elite-group-a-1333307/full-scorecard
Himachal Pradesh Vs Uttar Pradesh Elite Group A,1333308,Himachal,UP,drawn,-,Nadaun,"Jan 24-27, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/himachal-pradesh-vs-uttar-pradesh-elite-group-a-1333308/full-scorecard
Hyderabad India Vs Delhi Elite Group B,1333312,Hyderabad,Delhi,Delhi,9 wickets,Hyderabad,"Jan 24-27, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/hyderabad-india-vs-delhi-elite-group-b-1333312/full-scorecard
